accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.09,0.02,0.94,-0.14,-0.04,0.05,5.47,1.16
0.09,0.02,0.94,-0.1,-0.04,0.03,5.39,1.12
0.09,0.02,0.94,-0.08,-0.04,0.01,5.64,1.33
0.09,0.02,0.95,-0.04,-0.04,0.0,5.33,1.0
0.09,0.02,0.95,-0.02,-0.03,-0.02,5.49,1.14
0.09,0.02,0.95,0.02,-0.04,-0.02,5.18,1.28
0.08,0.01,0.94,0.04,-0.02,-0.05,4.85,0.64
0.07,0.01,0.94,0.06,-0.02,-0.05,4.2,0.82
0.06,0.01,0.93,0.07,-0.01,-0.07,3.44,0.6
0.05,0.01,0.93,0.1,-0.01,-0.09,3.32,0.35
0.05,0.0,0.92,0.12,-0.0,-0.11,2.85,0.25
0.04,0.0,0.92,0.12,0.01,-0.12,2.58,0.04
0.04,-0.0,0.91,0.13,0.0,-0.14,2.38,-0.16
0.03,-0.01,0.91,0.14,0.01,-0.15,2.04,-0.47
0.04,-0.01,0.91,0.14,0.0,-0.17,2.44,-0.32
0.03,-0.01,0.91,0.13,0.0,-0.18,1.93,-0.42
0.02,-0.0,0.92,0.13,-0.01,-0.2,1.45,-0.03
0.02,0.0,0.93,0.14,-0.02,-0.21,1.21,0.26
0.01,0.0,0.93,0.14,-0.02,-0.21,0.58,0.15
0.0,-0.0,0.93,0.13,-0.01,-0.22,0.19,-0.09
0.0,0.0,0.93,0.14,-0.04,-0.21,0.03,0.2
-0.01,-0.0,0.93,0.13,-0.05,-0.22,-0.74,-0.15
-0.01,-0.0,0.94,0.14,-0.05,-0.23,-0.47,-0.0
-0.02,0.01,0.93,0.13,-0.06,-0.21,-1.4,0.37
-0.03,0.01,0.93,0.11,-0.06,-0.22,-1.64,0.35
-0.04,0.0,0.93,0.16,0.07,-0.37,-2.22,0.17
-0.04,0.0,0.93,0.09,-0.08,-0.21,-2.69,0.21
-0.05,0.01,0.93,0.08,-0.07,-0.21,-2.85,0.58
-0.04,0.01,0.93,0.07,-0.08,-0.2,-2.76,0.7
-0.05,0.01,0.92,0.06,-0.1,-0.19,-3.26,0.81
-0.05,0.02,0.93,0.03,-0.1,-0.2,-3.15,1.06
-0.04,0.01,0.93,0.03,-0.09,-0.18,-2.46,0.87
-0.04,0.02,0.93,0.01,-0.11,-0.17,-2.75,1.11
-0.03,0.02,0.93,-0.0,-0.1,-0.18,-2.13,0.97
-0.04,0.01,0.92,-0.01,-0.11,-0.16,-2.8,0.83
-0.04,0.03,0.94,-0.02,-0.09,-0.15,-2.2,1.76
