accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.01,0.06,0.83,-0.04,-0.02,-0.28
-0.02,0.07,0.86,0.05,-0.06,-0.29
-0.03,0.08,0.87,0.09,-0.08,-0.27
-0.06,0.11,0.89,0.12,-0.1,-0.22
-0.07,0.12,0.9,0.12,-0.12,-0.17
-0.09,0.14,0.91,0.09,-0.16,-0.08
-0.08,0.16,0.91,0.04,-0.18,-0.02
-0.07,0.16,0.91,-0.01,-0.21,0.05
-0.06,0.16,0.89,-0.1,-0.2,0.1
-0.04,0.16,0.9,-0.19,-0.19,0.13
-0.04,0.16,0.91,-0.28,-0.18,0.15
-0.04,0.17,0.92,-0.39,-0.17,0.16
-0.01,0.15,0.93,-0.47,-0.2,0.18
0.03,0.12,0.94,-0.56,-0.22,0.16
0.05,0.1,0.95,-0.62,-0.23,0.14
0.07,0.07,0.99,-0.66,-0.25,0.14
0.07,0.06,1.01,-0.67,-0.25,0.12
0.08,0.04,1.04,-0.66,-0.27,0.1
0.08,0.03,1.06,-0.62,-0.3,0.09
0.08,0.01,1.07,-0.59,-0.32,0.06
0.1,-0.01,1.07,-0.55,-0.33,0.03
0.11,-0.02,1.1,-0.49,-0.35,0.01
0.14,-0.02,1.1,-0.45,-0.33,-0.04
0.16,-0.04,1.11,-0.36,-0.31,-0.06
0.16,-0.06,1.1,-0.31,-0.24,-0.1
0.15,-0.06,1.11,-0.27,-0.19,-0.1
0.14,-0.05,1.11,-0.22,-0.11,-0.09
0.12,-0.04,1.12,-0.21,-0.04,-0.05
0.11,-0.02,1.11,-0.2,0.01,-0.0
0.09,-0.02,1.1,-0.17,0.05,0.06
0.09,-0.01,1.1,-0.15,0.09,0.11
0.1,-0.01,1.08,-0.14,0.1,0.15
0.11,0.0,1.06,-0.13,0.1,0.18
0.12,-0.01,1.04,-0.11,0.13,0.18
0.11,0.01,1.03,-0.05,0.13,0.17
0.1,0.02,1.01,-0.01,0.15,0.14
0.09,0.04,1.01,0.02,0.13,0.11
0.08,0.05,1.0,0.03,0.1,0.08
0.08,0.06,0.99,0.05,0.07,0.04
0.07,0.07,0.97,0.06,0.05,0.01
0.07,0.06,0.97,0.06,0.05,-0.02
0.06,0.07,0.97,0.07,0.02,-0.04
0.05,0.08,0.96,0.05,0.03,-0.05
0.04,0.07,0.96,0.03,0.02,-0.06
0.02,0.07,0.94,0.01,0.03,-0.04
0.02,0.06,0.95,-0.01,0.04,-0.02
0.02,0.06,0.95,-0.02,0.04,-0.01
0.02,0.07,0.94,-0.04,0.05,0.0
0.02,0.06,0.95,-0.06,0.04,0.02
0.02,0.05,0.95,-0.06,0.04,0.03
0.02,0.04,0.95,-0.06,0.04,0.05
0.03,0.04,0.95,-0.05,0.04,0.06
0.02,0.04,0.96,-0.04,0.02,0.08
0.03,0.04,0.96,-0.04,0.03,0.08
0.04,0.03,0.96,-0.02,0.03,0.07
0.04,0.04,0.95,-0.02,0.02,0.06
0.05,0.02,0.95,-0.01,0.02,0.04
0.06,0.02,0.95,0.02,0.03,0.01
