accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.05,0.39,0.84,-0.05,0.0,-0.01,-2.89,25.05
-0.06,0.39,0.86,-0.06,-0.01,-0.02,-3.45,24.35
-0.06,0.38,0.87,-0.07,-0.01,-0.02,-3.68,23.47
-0.06,0.38,0.87,-0.05,-0.03,-0.04,-3.68,23.32
-0.06,0.37,0.87,-0.03,-0.06,-0.04,-3.79,22.76
-0.06,0.35,0.87,-0.02,-0.07,-0.06,-3.45,21.74
-0.06,0.34,0.88,0.01,-0.11,-0.07,-3.86,20.84
-0.06,0.32,0.89,0.02,-0.11,-0.1,-3.71,19.61
-0.06,0.31,0.89,0.07,-0.13,-0.12,-3.89,19.33
-0.08,0.32,0.89,0.08,-0.11,-0.16,-4.58,19.98
-0.09,0.37,0.88,0.1,-0.1,-0.15,-5.12,22.48
-0.09,0.4,0.85,0.09,-0.05,-0.14,-5.35,24.91
-0.09,0.43,0.84,0.07,-0.04,-0.13,-5.31,27.32
-0.08,0.44,0.83,0.03,-0.02,-0.1,-5.17,28.14
-0.08,0.44,0.82,-0.01,-0.0,-0.08,-4.73,28.21
-0.08,0.43,0.83,-0.07,0.03,-0.08,-5.02,27.34
-0.08,0.42,0.85,-0.09,0.02,-0.06,-4.76,26.15
-0.08,0.41,0.84,-0.12,0.01,-0.04,-5.05,26.04
-0.1,0.4,0.85,-0.12,-0.0,-0.04,-5.81,24.87
-0.11,0.38,0.87,-0.12,0.0,-0.04,-6.73,23.38
-0.11,0.36,0.88,-0.11,0.01,-0.03,-6.71,22.09
-0.11,0.36,0.9,-0.08,0.01,-0.01,-6.41,21.57
-0.1,0.35,0.89,-0.06,0.01,0.0,-6.17,21.27
-0.09,0.35,0.87,-0.02,-0.0,0.01,-5.33,21.74
-0.08,0.34,0.86,-0.02,-0.01,0.01,-4.76,21.82
-0.08,0.34,0.85,0.01,-0.01,-0.02,-4.99,21.55
-0.06,0.34,0.85,0.01,-0.03,-0.02,-4.01,21.92
-0.06,0.35,0.85,0.0,-0.01,-0.03,-4.01,22.13
-0.07,0.37,0.84,-0.0,0.0,-0.03,-4.15,23.38
-0.07,0.37,0.84,-0.02,0.01,-0.03,-4.65,23.71
-0.08,0.38,0.84,-0.02,-0.0,-0.03,-4.89,24.57
-0.09,0.39,0.85,-0.05,0.01,-0.03,-5.31,24.39
